Date,Price,Open,High,Low,Vol.,Change %
3/1/2019,242000.00,236300.00,246000.00,236300.00,31.25K,0.83%
3/4/2019,242000.00,240000.00,245500.00,239000.00,44.09K,0.00%
3/5/2019,243500.00,244500.00,244800.00,240100.00,10.22K,0.62%
3/6/2019,243900.00,240400.00,245000.00,240000.00,22.91K,0.16%
3/7/2019,241100.00,242000.00,242900.00,240500.00,25.34K,-1.15%
3/8/2019,245000.00,242900.00,245000.00,241000.00,29.05K,1.62%
3/11/2019,245000.00,245000.00,246300.00,241600.00,20.34K,0.00%
3/12/2019,252000.00,245000.00,252600.00,244700.00,42.62K,2.86%
3/13/2019,255000.00,249300.00,258000.00,234900.00,54.14K,1.19%
3/14/2019,253000.00,253000.00,257500.00,252000.00,26.12K,-0.78%
3/15/2019,253800.00,255000.00,255000.00,247800.00,40.55K,0.32%
3/18/2019,245100.00,250100.00,253800.00,245100.00,75.53K,-3.43%
3/19/2019,248000.00,245100.00,249500.00,245100.00,37.32K,1.18%
3/20/2019,249500.00,245000.00,250000.00,245000.00,17.82K,0.60%
3/21/2019,249400.00,250900.00,251000.00,245600.00,17.67K,-0.04%
3/22/2019,251000.00,245000.00,251000.00,245000.00,30.81K,0.64%
3/25/2019,248800.00,250000.00,250000.00,245000.00,5.64K,-0.88%
3/26/2019,250800.00,248800.00,250900.00,247200.00,41.59K,0.80%
3/27/2019,250800.00,250800.00,251000.00,247300.00,12.02K,0.00%
3/28/2019,250000.00,250800.00,250800.00,247600.00,8.32K,-0.32%
3/29/2019,249700.00,251900.00,251900.00,247000.00,122.59K,-0.12%
4/1/2019,249700.00,250400.00,250400.00,247500.00,23.05K,0.00%
4/2/2019,246000.00,251100.00,251100.00,246000.00,21.89K,-1.48%
4/3/2019,246900.00,248600.00,248600.00,245400.00,1.20K,0.37%
4/4/2019,249800.00,246900.00,250800.00,246100.00,38.74K,1.17%
4/5/2019,248000.00,247100.00,250700.00,247100.00,13.04K,-0.72%
4/8/2019,249400.00,249900.00,249900.00,248000.00,2.39K,0.56%
4/9/2019,245100.00,246600.00,249400.00,245100.00,22.77K,-1.72%
4/10/2019,247000.00,249000.00,249000.00,240100.00,39.63K,0.78%
4/11/2019,247500.00,247000.00,249800.00,241200.00,32.94K,0.20%
4/12/2019,244200.00,247500.00,248500.00,244200.00,5.89K,-1.33%
4/16/2019,246200.00,244200.00,247000.00,241200.00,13.25K,0.82%
4/17/2019,246800.00,244100.00,247500.00,244100.00,12.34K,0.24%
4/18/2019,231000.00,246700.00,247000.00,231000.00,41.15K,-6.40%
4/19/2019,240500.00,243000.00,243000.00,237100.00,8.17K,4.11%
4/22/2019,243000.00,240500.00,243000.00,236500.00,18.00K,1.04%
4/23/2019,240500.00,240000.00,242000.00,238500.00,23.41K,-1.03%
4/24/2019,240000.00,241000.00,242000.00,239200.00,49.76K,-0.21%
4/25/2019,239000.00,240100.00,240100.00,236500.00,43.55K,-0.42%
4/26/2019,239200.00,237000.00,242000.00,235100.00,27.27K,0.08%
5/2/2019,243700.00,239200.00,244000.00,239200.00,48.20K,1.88%
5/3/2019,243700.00,243700.00,243800.00,239700.00,80.94K,0.00%
5/6/2019,240500.00,243500.00,243500.00,238300.00,20.24K,-1.31%
5/7/2019,241600.00,239200.00,243000.00,239200.00,7.32K,0.46%
5/8/2019,242200.00,240000.00,243000.00,240000.00,28.49K,0.25%
5/9/2019,246000.00,239500.00,246900.00,239500.00,20.63K,1.57%
5/10/2019,248000.00,247000.00,249400.00,243000.00,23.23K,0.81%
5/13/2019,248000.00,249500.00,252000.00,248000.00,15.30K,0.00%
5/14/2019,253000.00,248000.00,259000.00,245100.00,15.22K,2.02%
5/15/2019,253000.00,252000.00,257600.00,252000.00,108.36K,0.00%
5/16/2019,245000.00,254000.00,254500.00,245000.00,20.32K,-3.16%
5/17/2019,257000.00,254900.00,258000.00,247500.00,31.53K,4.90%
5/20/2019,263000.00,257000.00,265000.00,252000.00,30.63K,2.33%
5/21/2019,263700.00,261500.00,264000.00,260300.00,17.76K,0.27%
5/22/2019,263700.00,263600.00,263700.00,260700.00,24.67K,0.00%
5/23/2019,261100.00,263700.00,263700.00,260000.00,14.78K,-0.99%
5/24/2019,261200.00,260100.00,263900.00,260100.00,37.10K,0.04%
5/27/2019,265000.00,263800.00,265000.00,260000.00,20.92K,1.45%
5/28/2019,260000.00,265000.00,265000.00,260000.00,28.73K,-1.89%
5/29/2019,260300.00,260000.00,263000.00,258900.00,13.90K,0.12%
5/30/2019,263500.00,262000.00,267000.00,256000.00,21.68K,1.23%
5/31/2019,267000.00,263400.00,267000.00,260100.00,8.83K,1.33%
