Date,Price,Open,High,Low,Vol.,Change %
3/1/2019,89000.00,89000.00,89200.00,88200.00,683.44K,0.11%
3/4/2019,89500.00,89100.00,91400.00,89000.00,1.28M,0.56%
3/5/2019,89400.00,89500.00,90900.00,89300.00,772.09K,-0.11%
3/6/2019,90000.00,90000.00,90200.00,89300.00,695.52K,0.67%
3/7/2019,90000.00,90700.00,91000.00,89800.00,947.51K,0.00%
3/8/2019,89800.00,89100.00,90000.00,88500.00,469.73K,-0.22%
3/11/2019,89600.00,88100.00,89700.00,88100.00,602.35K,-0.22%
3/12/2019,88500.00,89600.00,90000.00,88100.00,653.99K,-1.23%
3/13/2019,89000.00,88500.00,89500.00,88500.00,1.01M,0.56%
3/14/2019,88600.00,89000.00,89300.00,88600.00,201.76K,-0.45%
3/15/2019,86500.00,88600.00,89000.00,85300.00,1.37M,-2.37%
3/18/2019,86800.00,86500.00,87600.00,84800.00,766.25K,0.35%
3/19/2019,87000.00,87300.00,87300.00,86000.00,442.46K,0.23%
3/20/2019,85000.00,85200.00,86200.00,84000.00,591.56K,-2.30%
3/21/2019,85000.00,85100.00,85400.00,84300.00,665.06K,0.00%
3/22/2019,84500.00,84900.00,85300.00,84500.00,759.19K,-0.59%
3/25/2019,82200.00,83000.00,83700.00,82100.00,488.15K,-2.72%
3/26/2019,83100.00,82200.00,84000.00,82200.00,488.32K,1.09%
3/27/2019,85000.00,83100.00,85200.00,83100.00,455.91K,2.29%
3/28/2019,85000.00,85000.00,85000.00,84200.00,395.73K,0.00%
3/29/2019,84300.00,85000.00,86900.00,84300.00,756.01K,-0.82%
4/1/2019,88000.00,85600.00,88000.00,85200.00,515.71K,4.39%
4/2/2019,88100.00,88300.00,88600.00,86300.00,393.20K,0.11%
4/3/2019,87700.00,88100.00,88100.00,87000.00,303.68K,-0.45%
4/4/2019,87800.00,87100.00,88100.00,87100.00,336.28K,0.11%
4/5/2019,88300.00,87800.00,88800.00,87800.00,231.11K,0.57%
4/8/2019,88300.00,88000.00,88500.00,85800.00,582.44K,0.00%
4/9/2019,87500.00,88700.00,88700.00,87000.00,280.38K,-0.91%
4/10/2019,86700.00,85200.00,87000.00,85200.00,292.05K,-0.91%
4/11/2019,87700.00,86700.00,88000.00,86700.00,188.22K,1.15%
4/12/2019,87800.00,87800.00,88100.00,87000.00,95.63K,0.11%
4/16/2019,87800.00,86000.00,88100.00,85400.00,290.80K,0.00%
4/17/2019,88000.00,87800.00,88100.00,87000.00,730.31K,0.23%
4/18/2019,86000.00,86100.00,87900.00,86000.00,407.72K,-2.27%
4/19/2019,87600.00,86000.00,88000.00,86000.00,57.48K,1.86%
4/22/2019,87900.00,87600.00,88000.00,87500.00,292.24K,0.34%
4/23/2019,87900.00,87100.00,88000.00,87100.00,338.52K,0.00%
